"","x"
"1","RAD54L"
"2","CASP8"
"3","BARD1"
"4","PIK3CA"
"5","PIK3CA"
"6","PIK3CA"
"7","PIK3CA"
"8","PIK3CA"
"9","PIK3CA"
"10","PIK3CA"
"11","PRLR"
"12","APC"
"13","APC"
"14","RAD50"
"15","LOC101927761"
"16","EGFR"
"17","NBN"
"18","GATA3"
"19","CYP17A1"
"20","ATM"
"21","ATM"
"22","ATM"
"23","C11orf65"
"24","C11orf65"
"25","KRAS"
"26","KRAS"
"27","BRCA2"
"28","BRCA2"
"29","BRCA2"
"30","BRCA2"
"31","BRCA2"
"32","BRCA2"
"33","BRCA2"
"34","BRCA2"
"35","BRCA2"
"36","BRCA2"
"37","BRCA2"
"38","BRCA2"
"39","BRCA2"
"40","BRCA2"
"41","BRCA2"
"42","BRCA2"
"43","BRCA2"
"44","BRCA2"
"45","BRCA2"
"46","BRCA2"
"47","BRCA2"
"48","BRCA2"
"49","BRCA2"
"50","BRCA2"
"51","BRCA2"
"52","BRCA2"
"53","BRCA2"
"54","BRCA2"
"55","BRCA2"
"56","BRCA2"
"57","BRCA2"
"58","BRCA2"
"59","BRCA2"
"60","BRCA2"
"61","BRCA2"
"62","BRCA2"
"63","BRCA2"
"64","BRCA2"
"65","BRCA2"
"66","BRCA2"
"67","BRCA2"
"68","BRCA2"
"69","BRCA2"
"70","BRCA2"
"71","BRCA2"
"72","BRCA2"
"73","BRCA2"
"74","BRCA2"
"75","BRCA2"
"76","BRCA2"
"77","BRCA2"
"78","BRCA2"
"79","BRCA2"
"80","BRCA2"
"81","BRCA2"
"82","BRCA2"
"83","BRCA2"
"84","BRCA2"
"85","BRCA2"
"86","BRCA2"
"87","BRCA2"
"88","BRCA2"
"89","BRCA2"
"90","BRCA2"
"91","BRCA2"
"92","BRCA2"
"93","BRCA2"
"94","BRCA2"
"95","BRCA2"
"96","BRCA2"
"97","BRCA2"
"98","BRCA2"
"99","BRCA2"
"100","BRCA2"
"101","BRCA2"
"102","BRCA2"
"103","BRCA2"
"104","BRCA2"
"105","BRCA2"
"106","BRCA2"
"107","BRCA2"
"108","BRCA2"
"109","BRCA2"
"110","BRCA2"
"111","BRCA2"
"112","BRCA2"
"113","BRCA2"
"114","BRCA2"
"115","BRCA2"
"116","BRCA2"
"117","BRCA2"
"118","BRCA2"
"119","BRCA2"
"120","BRCA2"
"121","BRCA2"
"122","BRCA2"
"123","BRCA2"
"124","BRCA2"
"125","BRCA2"
"126","BRCA2"
"127","BRCA2"
"128","BRCA2"
"129","BRCA2"
"130","BRCA2"
"131","BRCA2"
"132","BRCA2"
"133","BRCA2"
"134","BRCA2"
"135","BRCA2"
"136","BRCA2"
"137","BRCA2"
"138","BRCA2"
"139","BRCA2"
"140","BRCA2"
"141","BRCA2"
"142","BRCA2"
"143","BRCA2"
"144","BRCA2"
"145","BRCA2"
"146","BRCA2"
"147","BRCA2"
"148","BRCA2"
"149","BRCA2"
"150","BRCA2"
"151","BRCA2"
"152","BRCA2"
"153","BRCA2"
"154","BRCA2"
"155","BRCA2"
"156","BRCA2"
"157","BRCA2"
"158","BRCA2"
"159","BRCA2"
"160","BRCA2"
"161","BRCA2"
"162","BRCA2"
"163","BRCA2"
"164","BRCA2"
"165","BRCA2"
"166","BRCA2"
"167","BRCA2"
"168","BRCA2"
"169","BRCA2"
"170","BRCA2"
"171","BRCA2"
"172","BRCA2"
"173","BRCA2"
"174","BRCA2"
"175","BRCA2"
