"","x"
"1","PLA2G2A"
"2","MSH2"
"3","MSH2"
"4","MSH2"
"5","MSH2"
"6","MSH2"
"7","MSH2"
"8","MSH2"
"9","MSH2"
"10","MSH2"
"11","MSH2"
"12","MSH2"
"13","MSH2"
"14","MSH2"
"15","MSH2"
"16","MSH6"
"17","MSH6"
"18","MSH6"
"19","MSH6"
"20","MSH6"
"21","MSH6"
"22","MSH6"
"23","MSH6"
"24","MSH6"
"25","MSH6"
"26","MSH6"
"27","MSH6"
"28","MSH6"
"29","FBXO11"
"30","FBXO11"
"31","FBXO11"
"32","BUB1"
"33","BUB1"
"34","TGFBR2"
"35","TGFBR2"
"36","MLH1"
"37","MLH1"
"38","MLH1"
"39","MLH1"
"40","MLH1"
"41","MLH1"
"42","MLH1"
"43","MLH1"
"44","MLH1"
"45","APC"
"46","APC"
"47","APC"
"48","APC"
"49","APC"
"50","APC"
"51","APC"
"52","APC"
"53","APC"
"54","APC"
"55","APC"
"56","APC"
"57","APC"
"58","APC"
"59","APC"
"60","APC"
"61","APC"
"62","APC"
"63","APC"
"64","APC"
"65","APC"
"66","APC"
"67","APC"
"68","APC"
"69","APC"
"70","APC"
"71","APC"
"72","APC"
"73","APC"
"74","APC"
"75","APC"
"76","APC"
"77","APC"
"78","APC"
"79","APC"
"80","APC"
"81","APC"
"82","APC"
"83","APC"
"84","APC"
"85","APC"
"86","APC"
"87","APC"
"88","APC"
"89","APC"
"90","APC"
"91","APC"
"92","APC"
"93","APC"
"94","APC"
"95","APC"
"96","APC"
"97","APC"
"98","APC"
"99","APC"
"100","APC"
"101","APC"
"102","APC"
"103","APC"
"104","APC"
"105","APC"
"106","APC"
"107","APC"
"108","APC"
"109","APC"
"110","APC"
"111","APC"
"112","APC"
"113","APC"
"114","APC"
"115","APC"
"116","APC"
"117","APC"
"118","APC"
"119","APC"
"120","APC"
"121","APC"
"122","APC"
"123","APC"
"124","APC"
"125","APC"
"126","APC"
"127","APC"
"128","APC"
"129","APC"
"130","APC"
"131","APC"
"132","APC"
"133","APC"
"134","APC"
"135","APC"
"136","APC"
"137","APC"
"138","APC"
"139","APC"
"140","APC"
"141","APC"
"142","APC"
"143","APC"
"144","APC"
"145","APC"
"146","APC"
"147","APC"
"148","APC"
"149","APC"
"150","APC"
"151","APC"
"152","APC"
"153","APC"
"154","APC"
"155","APC"
"156","APC"
"157","APC"
"158","APC"
"159","APC"
"160","APC"
"161","APC"
"162","APC"
"163","APC"
"164","APC"
"165","APC"
"166","APC"
"167","APC"
"168","APC"
"169","APC"
"170","APC"
"171","APC"
"172","APC"
"173","APC"
"174","APC"
"175","APC"
"176","APC"
"177","APC"
"178","APC"
"179","APC"
"180","APC"
"181","APC"
"182","APC"
"183","APC"
"184","APC"
"185","APC"
"186","APC"
"187","APC"
"188","APC"
"189","APC"
"190","APC"
"191","APC"
"192","APC"
"193","APC"
"194","APC"
"195","APC"
"196","APC"
"197","APC"
"198","APC"
"199","APC"
"200","APC"
"201","APC"
"202","APC"
"203","APC"
"204","APC"
"205","APC"
"206","APC"
"207","APC"
"208","APC"
"209","APC"
"210","APC"
"211","APC"
"212","APC"
"213","APC"
"214","APC"
"215","APC"
"216","APC"
"217","APC"
"218","APC"
"219","APC"
"220","APC"
"221","APC"
"222","APC"
"223","APC"
"224","APC"
"225","APC"
"226","APC"
"227","APC"
"228","APC"
"229","APC"
"230","APC"
"231","APC"
"232","APC"
"233","APC"
"234","APC"
"235","APC"
"236","APC"
"237","APC"
"238","APC"
"239","APC"
"240","APC"
"241","APC"
"242","APC"
"243","APC"
"244","APC"
"245","APC"
"246","APC"
"247","APC"
"248","APC"
"249","APC"
"250","APC"
"251","APC"
"252","APC"
"253","APC"
"254","APC"
"255","APC"
"256","APC"
"257","APC"
"258","APC"
"259","APC"
"260","APC"
"261","APC"
"262","APC"
"263","APC"
"264","APC"
"265","APC"
"266","APC"
"267","APC"
"268","APC"
"269","APC"
"270","APC"
"271","APC"
"272","APC"
"273","APC"
"274","APC"
"275","APC"
"276","APC"
"277","APC"
"278","APC"
"279","APC"
"280","APC"
"281","APC"
"282","APC"
"283","APC"
"284","APC"
"285","APC"
"286","APC"
"287","APC"
"288","APC"
"289","APC"
"290","APC"
"291","APC"
"292","APC"
"293","APC"
"294","APC"
"295","APC"
"296","APC"
"297","APC"
"298","APC"
"299","APC"
"300","APC"
"301","APC"
"302","APC"
"303","APC"
"304","APC"
"305","APC"
"306","APC"
"307","APC"
"308","APC"
"309","APC"
"310","APC"
"311","APC"
"312","APC"
"313","APC"
"314","APC"
"315","APC"
"316","APC"
"317","APC"
"318","APC"
"319","APC"
"320","APC"
"321","APC"
"322","APC"
"323","APC"
"324","APC"
"325","APC"
"326","APC"
"327","APC"
"328","APC"
"329","APC"
"330","APC"
"331","APC"
"332","APC"
"333","APC"
"334","APC"
"335","APC"
"336","APC"
"337","APC"
"338","APC"
"339","APC"
"340","APC"
"341","APC"
"342","APC"
"343","APC"
"344","APC"
"345","APC"
"346","APC"
"347","APC"
"348","APC"
"349","APC"
"350","APC"
"351","APC"
"352","APC"
"353","APC"
"354","APC"
"355","APC"
"356","APC"
"357","APC"
"358","APC"
"359","APC"
"360","APC"
"361","APC"
"362","APC"
"363","APC"
"364","APC"
"365","APC"
"366","APC"
"367","APC"
"368","APC"
"369","APC"
"370","APC"
"371","APC"
"372","APC"
"373","APC"
"374","APC"
"375","APC"
"376","APC"
"377","APC"
"378","APC"
"379","APC"
"380","APC"
"381","APC"
"382","APC"
"383","APC"
"384","APC"
"385","APC"
"386","APC"
"387","APC"
"388","APC"
"389","APC"
"390","APC"
"391","APC"
"392","APC"
"393","APC"
"394","APC"
"395","APC"
"396","APC"
"397","APC"
"398","APC"
"399","APC"
"400","APC"
"401","APC"
"402","APC"
"403","APC"
"404","APC"
"405","APC"
"406","APC"
"407","APC"
"408","APC"
"409","APC"
"410","APC"
"411","APC"
"412","APC"
"413","APC"
"414","APC"
"415","APC"
"416","APC"
"417","APC"
"418","APC"
"419","APC"
"420","APC"
"421","APC"
"422","APC"
"423","APC"
"424","APC"
"425","APC"
"426","APC"
"427","APC"
"428","APC"
"429","APC"
"430","APC"
"431","APC"
"432","APC"
"433","APC"
"434","APC"
"435","APC"
"436","APC"
"437","APC"
"438","APC"
"439","APC"
"440","APC"
"441","APC"
"442","APC"
"443","APC"
"444","APC"
"445","APC"
"446","APC"
"447","APC"
"448","APC"
"449","APC"
"450","APC"
"451","APC"
"452","APC"
"453","APC"
"454","APC"
"455","APC"
"456","APC"
"457","APC"
"458","APC"
"459","APC"
"460","APC"
"461","APC"
"462","APC"
"463","APC"
"464","APC"
"465","APC"
"466","APC"
"467","APC"
"468","APC"
"469","APC"
"470","APC"
"471","APC"
"472","APC"
"473","APC"
"474","APC"
"475","APC"
"476","APC"
"477","APC"
"478","APC"
"479","APC"
"480","APC"
"481","APC"
"482","APC"
"483","APC"
"484","APC"
"485","APC"
"486","APC"
"487","APC"
"488","APC"
"489","APC"
"490","APC"
"491","APC"
"492","APC"
"493","APC"
"494","APC"
"495","APC"
"496","APC"
"497","APC"
"498","APC"
"499","APC"
"500","APC"
"501","APC"
"502","APC"
"503","APC"
"504","APC"
"505","APC"
"506","APC"
"507","APC"
"508","APC"
"509","APC"
"510","APC"
"511","APC"
"512","APC"
"513","APC"
"514","APC"
"515","APC"
"516","APC"
"517","APC"
"518","APC"
"519","APC"
"520","APC"
"521","APC"
"522","APC"
"523","APC"
"524","APC"
"525","APC"
"526","APC"
"527","APC"
"528","APC"
"529","APC"
"530","APC"
"531","APC"
"532","APC"
"533","APC"
"534","APC"
"535","APC"
"536","APC"
"537","APC"
"538","APC"
"539","APC"
"540","APC"
"541","APC"
"542","APC"
"543","APC"
"544","APC"
"545","APC"
"546","APC"
"547","APC"
"548","APC"
"549","APC"
"550","APC"
"551","APC"
"552","APC"
"553","APC"
"554","APC"
"555","APC"
"556","APC"
"557","APC"
"558","APC"
"559","APC"
"560","APC"
"561","APC"
"562","APC"
"563","APC"
"564","APC"
"565","APC"
"566","APC"
"567","APC"
"568","APC"
"569","APC"
"570","APC"
"571","APC"
"572","APC"
"573","APC"
"574","APC"
