"","x"
"1","SDHC"
"2","IL1B"
"3","TIMM8B"
"4","CDH1"
"5","CDH1"
"6","CDH1"
"7","CDH1"
"8","CDH1"
"9","CDH1"
"10","CDH1"
"11","CDH1"
"12","CDH1"
"13","CDH1"
"14","CDH1"
"15","CDH1"
"16","CDH1"
"17","CDH1"
"18","CDH1"
"19","CDH1"
"20","CDH1"
"21","CDH1"
"22","CDH1"
"23","CDH1"
"24","CDH1"
"25","CDH1"
"26","CDH1"
"27","CDH1"
"28","CDH1"
"29","CDH1"
"30","CDH1"
"31","CDH1"
"32","CDH1"
"33","CDH1"
"34","CDH1"
"35","CDH1"
"36","CDH1"
"37","CDH1"
"38","CDH1"
"39","CDH1"
"40","CDH1"
"41","CDH1"
"42","CDH1"
"43","CDH1"
"44","CDH1"
"45","CDH1"
"46","CDH1"
"47","CDH1"
"48","CDH1"
"49","CDH1"
"50","CDH1"
"51","CDH1"
"52","CDH1"
"53","CDH1"
"54","CDH1"
"55","CDH1"
"56","CDH1"
"57","CDH1"
"58","CDH1"
"59","CDH1"
"60","CDH1"
"61","CDH1"
"62","CDH1"
"63","CDH1"
"64","CDH1"
"65","CDH1"
"66","CDH1"
"67","CDH1"
"68","CDH1"
"69","CDH1"
"70","CDH1"
