"","x"
"1","NRAS"
"2","FASLG"
"3","PIK3CA"
"4","PIK3CA"
"5","PIK3CA"
"6","PIK3CA"
"7","PIK3CA"
"8","PIK3CA"
"9","PIK3CA"
"10","IRF1"
"11","SASH1"
"12","EGFR"
"13","EGFR"
"14","EGFR"
"15","EGFR"
"16","EGFR"
"17","EGFR"
"18","EGFR"
"19","EGFR"
"20","EGFR"
"21","EGFR"
"22","EGFR"
"23","EGFR"
"24","EGFR"
"25","EGFR"
"26","EGFR"
"27","EGFR"
"28","EGFR"
"29","EGFR"
"30","EGFR"
"31","EGFR"
"32","EGFR"
"33","BRAF"
"34","BRAF"
"35","BRAF"
"36","BRAF"
"37","BRAF"
"38","BRAF"
"39","BRAF"
"40","BRAF"
"41","BRAF"
"42","BRAF"
"43","BRAF"
"44","BRAF"
"45","BRAF"
"46","BRAF"
"47","BRAF"
"48","BRAF"
"49","ERCC6-PGBD3"
"50","ACTA2"
"51","HRAS"
"52","SLC22A18"
"53","PPP2R1B"
"54","KRAS"
"55","KRAS"
"56","KRAS"
"57","KRAS"
"58","KRAS"
"59","KRAS"
"60","KRAS"
"61","KRAS"
"62","KRAS"
"63","KRAS"
"64","RB1"
"65","CHRNA5"
"66","CHRNA3"
"67","ERBB2"
"68","MIR4728"
"69","MIR4728"
"70","MIR4728"
"71","MIR4728"
"72","MIR4728"
"73","MIR4728"
"74","MIR4728"
"75","MIR4728"
