"","chr","pos","pos"
"1","chr3","41266104","41266104"
"2","chr3","41266124","41266124"
"3","chr3","41266136","41266136"
"4","chr3","41266137","41266137"
"5","chr3","178936092","178936092"
"6","chr3","178952085","178952085"
"7","chr5","112164621","112164621"
"8","chr6","160490993","160490993"
"9","chr6","160491038","160491038"
"10","chr7","116419007","116419007"
"11","chr7","116423456","116423456"
"12","chr7","116423475","116423475"
"13","chr17","7577534","7577534"
"14","chr17","7577559","7577559"
"15","chr17","7578461","7578461"
